[Classes],Label,Introduced by,Hyperlink,When,Comment,Occurrences,Using GRFIDs
,"flag/SM",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"San Marino",3,"38424253 504e53ff fb300c4b"
,"flag/SN",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Senegal",3,"38424253 504e53ff fb300c4b"
,"flag/SO",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Somalia",2,"504e53ff fb300c4b"
,"flag/SR",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Suriname",2,"504e53ff fb300c4b"
,"flag/SS",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"South Sudan",2,"504e53ff fb300c4b"
,"flag/ST",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Sao Tome and Principe",2,"504e53ff fb300c4b"
,"flag/SV",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"El Salvador",2,"504e53ff fb300c4b"
,"flag/SX",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Sint Maarten",2,"504e53ff fb300c4b"
,"flag/SY",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Syrian Arab Republic",2,"504e53ff fb300c4b"
,"flag/SZ",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Eswatini",2,"504e53ff fb300c4b"
,"flag/TC",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Turks and Caicos Islands",2,"504e53ff fb300c4b"
,"flag/TD",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Chad",2,"504e53ff fb300c4b"
,"flag/TF",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"French Southern Territories",2,"504e53ff fb300c4b"
,"flag/TG",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Togo",3,"38424253 504e53ff fb300c4b"
,"flag/TH",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Thailand",3,"38424253 504e53ff fb300c4b"
,"flag/TJ",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Tajikistan",2,"504e53ff fb300c4b"
,"flag/TK",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Tokelau",2,"504e53ff fb300c4b"
,"flag/TL",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Timor-Leste",2,"504e53ff fb300c4b"
,"flag/TM",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Turkmenistan",2,"504e53ff fb300c4b"
,"flag/TN",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Tunisia",3,"38424253 504e53ff fb300c4b"
,"flag/TO",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Tonga",2,"504e53ff fb300c4b"
,"flag/TR",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Türkiye",3,"38424253 504e53ff fb300c4b"
,"flag/TT",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Trinidad and Tobago",2,"504e53ff fb300c4b"
,"flag/TV",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Tuvalu",2,"504e53ff fb300c4b"
,"flag/TW",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Taiwan",3,"38424253 504e53ff fb300c4b"
,"flag/TZ",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Tanzania",3,"38424253 504e53ff fb300c4b"
,"flag/UA",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Ukraine",3,"38424253 504e53ff fb300c4b"
,"flag/UG",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Uganda",3,"38424253 504e53ff fb300c4b"
,"flag/UM",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"United States Minor Outlying Islands",2,"504e53ff fb300c4b"
,"flag/US",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"United States",3,"38424253 504e53ff fb300c4b"
,"flag/UY",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Uruguay",3,"38424253 504e53ff fb300c4b"
,"flag/UZ",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Uzbekistan",2,"504e53ff fb300c4b"
,"flag/VA",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Holy See",2,"504e53ff fb300c4b"
,"flag/VC",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Saint Vincent and the Grenadines",2,"504e53ff fb300c4b"
,"flag/VE",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Venezuela",3,"38424253 504e53ff fb300c4b"
,"flag/VG",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Virgin Islands (British)",2,"504e53ff fb300c4b"
,"flag/VI",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Virgin Islands (U.S.)",2,"504e53ff fb300c4b"
,"flag/VN",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Vietnam",3,"38424253 504e53ff fb300c4b"
,"flag/VU",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Vanuatu",2,"504e53ff fb300c4b"
,"flag/WF",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Wallis and Futuna",2,"504e53ff fb300c4b"
,"flag/WS",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Samoa",2,"504e53ff fb300c4b"
,"flag/YE",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Yemen",2,"504e53ff fb300c4b"
,"flag/YT",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Mayotte",2,"504e53ff fb300c4b"
,"flag/ZA",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"South Africa",3,"38424253 504e53ff fb300c4b"
,"flag/ZM",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Zambia",3,"38424253 504e53ff fb300c4b"
,"flag/ZW",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Zimbabwe",3,"38424253 504e53ff fb300c4b"
,"flag/east_germany",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"East Germany",2,"504e53ff fb300c4b"
,"flag/europe",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Europe (Mostly used as European Union)",4,"38424253 504e53ff 544d0201 fb300c4b"
,"flag/soviet_union",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"USSR",2,"504e53ff fb300c4b"
,"flag/yugoslavia",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Yugoslavia",2,"504e53ff fb300c4b"
[ih_behaviour],Label,Introduced by,Hyperlink,When,Comment,Occurrences,Using GRFIDs
,"ih_behaviour/caboose","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"No gameplay effect",2,"43411223 fb300c4b"
,"ih_behaviour/driving_cab","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"Driving Cab - attach to front or rear of train, with at least one other engine",2,"43411223 fb300c4b"
,"ih_behaviour/lgv_capable","U&ReRMM 3",https://bananas.openttd.org/package/newgrf/55464951,2026-01-02,"High speed capable",3,"43411223 55464951 fb300c4b"
,"ih_behaviour/post_office_car","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-06-20,"Eliminates running costs for all Mail Vans and High Speed Mail Vans in the train",2,"43411223 fb300c4b"
,"ih_behaviour/provides_easter_egg_haulage_speed_bonus","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_behaviour/random_reverse","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_behaviour/randomised_wagon","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"Randomised choice of wagon",2,"43411223 fb300c4b"
,"ih_behaviour/receives_easter_egg_haulage_speed_bonus","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"Express haulable",2,"43411223 fb300c4b"
,"ih_behaviour/restaurant_car","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"Eliminates running costs for all Passenger Coaches and High Speed Coaches in the train",2,"43411223 fb300c4b"
,"ih_behaviour/tilt","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"Tilts for faster cornering",2,"43411223 fb300c4b"
[ih_gen],Label,Introduced by,Hyperlink,When,Comment,Occurrences,Using GRFIDs
,"ih_gen/1","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"1",2,"43411223 fb300c4b"
,"ih_gen/2","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"2",2,"43411223 fb300c4b"
,"ih_gen/3","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"3",2,"43411223 fb300c4b"
,"ih_gen/4","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"4",2,"43411223 fb300c4b"
,"ih_gen/5","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"5",2,"43411223 fb300c4b"
,"ih_gen/6","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"6",2,"43411223 fb300c4b"
[ih_railtype],Label,Introduced by,Hyperlink,When,Comment,Occurrences,Using GRFIDs
,"ih_railtype/ELRL","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_railtype/LGVE","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_railtype/LGVN","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_railtype/MTRO","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_railtype/NAAN","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_railtype/RAIL","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
[ih_tech_tree],Label,Introduced by,Hyperlink,When,Comment,Occurrences,Using GRFIDs
,"ih_tech_tree/intro_date_months_offset/0","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_date_months_offset/1","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_date_months_offset/10","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_date_months_offset/11","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_date_months_offset/2","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_date_months_offset/3","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_date_months_offset/4","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_date_months_offset/5","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_date_months_offset/6","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_date_months_offset/7","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_date_months_offset/8","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_date_months_offset/9","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1860","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1862","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1875","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1880","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1895","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1897","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1900","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1901","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1903","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1905","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1906","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1907","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1910","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1915","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1917","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1922","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1925","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1927","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1930","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1932","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1934","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1935","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1938","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1947","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1950","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1951","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1954","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1955","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1956","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1957","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1958","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1959","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1960","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1961","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1962","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1963","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1964","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1965","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1966","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1967","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1971","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1972","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1976","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1977","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1980","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1982","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1985","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1986","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1987","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1988","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1990","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1991","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1992","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1993","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1994","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1995","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1996","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1997","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/1999","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/2000","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/2001","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/2002","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-02-01,"",1,"43411223"
,"ih_tech_tree/intro_year/2005","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/2006","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/2010","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/2011","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/2013","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-03-07,"",1,"43411223"
,"ih_tech_tree/intro_year/2014","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/2016","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/2018","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/2020","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/intro_year/2022","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/joker/False","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/joker/True","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/replacement/ih_vehicle_family/angerstein","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/replacement/ih_vehicle_family/argus","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/replacement/ih_vehicle_family/bankside","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/replacement/ih_vehicle_family/blaze","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/replacement/ih_vehicle_family/boar_cat","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/replacement/ih_vehicle_family/bone","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/replacement/ih_vehicle_family/booster","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/replacement/ih_vehicle_family/borax","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/replacement/ih_vehicle_family/braf","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/replacement/ih_vehicle_family/breeze","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/replacement/ih_vehicle_family/canary","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/replacement/ih_vehicle_family/captain_steel","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/replacement/ih_vehicle_family/carrack","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/replacement/ih_vehicle_family/centaur","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/replacement/ih_vehicle_family/cheddar_valley","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/replacement/ih_vehicle_family/chinook","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/replacement/ih_vehicle_family/chuggypig","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/replacement/ih_vehicle_family/clipper","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/replacement/ih_vehicle_family/constance","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree/replacement/ih_vehicle_family/cringle","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
